Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2017,30,1172,28.5,4.66,2770,105812,94586,12898,24076,4826,423,3492,12299,1462,546,9047,22853,0.255,0.324,0.425,0.749,40224,2193,974,529,650,551
2016,30,1353,28.4,4.48,4856,184580,165561,21744,42276,8254,873,5610,20745,2537,1001,15088,38982,0.255,0.322,0.417,0.739,69106,3719,1651,1025,1214,932
2015,30,1348,28.4,4.25,4858,183628,165488,20647,42106,8242,939,4909,19650,2505,1064,14073,37446,0.254,0.317,0.405,0.721,66953,3739,1602,1200,1232,951
2014,30,1320,28.5,4.07,4860,183929,165614,19761,41595,8137,849,4186,18745,2764,1035,14020,37441,0.251,0.314,0.386,0.7,63988,3609,1652,1343,1277,985
2013,30,1304,28.5,4.17,4862,184873,166070,20255,42093,8222,772,4661,19271,2693,1007,14640,36710,0.253,0.318,0.396,0.714,65842,3732,1536,1383,1219,1018
2012,30,1284,28.5,4.32,4860,184180,165251,21017,42063,8261,927,4934,19998,3229,1136,14709,36426,0.255,0.319,0.405,0.724,66980,3614,1494,1479,1223,1055
2011,30,1295,28.7,4.28,4858,185245,165705,20808,42267,8399,898,4552,19804,3279,1261,15018,34488,0.255,0.321,0.399,0.72,66118,3523,1554,1667,1274,1231
2010,30,1249,28.9,4.38,4860,185553,165353,21308,42554,8486,866,4613,20288,2959,1128,15778,34306,0.257,0.325,0.403,0.728,66611,3719,1549,1544,1301,1216
2009,30,1266,28.8,4.61,4860,187079,165849,22419,43524,8737,949,5042,21364,2970,1133,16620,33591,0.262,0.333,0.418,0.751,69285,3796,1590,1635,1366,1179
2008,30,1291,28.8,4.65,4856,187631,166714,22585,43972,9014,886,4878,21541,2799,1035,16337,32884,0.264,0.333,0.416,0.749,69392,3883,1672,1526,1365,1310
2007,30,1278,29.1,4.8,4862,188623,167783,23322,44977,9197,938,4957,22257,2918,1002,16079,32189,0.268,0.336,0.423,0.758,70921,3983,1755,1540,1441,1323
2006,30,1242,29.2,4.86,4858,188071,167341,23599,45073,9135,952,5386,22491,2767,1110,15847,31655,0.269,0.337,0.432,0.768,72270,3945,1817,1651,1396,1410
2005,30,1237,29.3,4.59,4862,186292,166335,22325,43991,8863,888,5017,21248,2565,1069,15207,30644,0.264,0.33,0.419,0.749,69681,3908,1797,1620,1315,1216
2004,30,1247,29.3,4.81,4856,188539,167353,23376,44522,8919,898,5451,22248,2589,1100,16222,31828,0.266,0.335,0.428,0.763,71590,3784,1850,1731,1363,1381
2003,30,1230,29.2,4.73,4860,187449,166737,22978,44057,8827,934,5207,21886,2573,1132,15889,30801,0.264,0.333,0.422,0.755,70373,3850,1849,1626,1336,1316
2002,30,1218,29.2,4.62,4852,186615,165582,22408,43272,8700,921,5059,21332,2750,1282,16246,31394,0.261,0.331,0.417,0.748,68991,3845,1746,1633,1399,1452
2001,30,1220,29.1,4.78,4858,186976,166234,23199,43879,8813,928,5458,22088,3103,1408,15806,32404,0.264,0.332,0.427,0.759,70922,3653,1890,1607,1424,1384
2000,30,1230,29.1,5.14,4858,190261,167290,24971,45246,8901,952,5693,23735,2924,1323,18237,31356,0.27,0.345,0.437,0.782,73130,3892,1573,1628,1514,1210
1999,30,1209,28.9,5.08,4856,189692,167137,24691,45327,8740,931,5528,23461,3421,1519,17891,31119,0.271,0.345,0.434,0.778,72513,3841,1579,1604,1464,1107
1998,30,1186,28.9,4.79,4864,188280,167116,23297,44489,8741,899,5064,22080,3284,1505,16447,31893,0.266,0.335,0.42,0.755,70220,3704,1587,1705,1402,1067
1997,28,1123,28.9,4.77,4532,175541,155438,21604,41471,8004,883,4640,20468,3308,1564,15666,29937,0.267,0.337,0.419,0.756,65161,3440,1449,1577,1383,1169
1996,28,1141,28.8,5.04,4534,177261,156801,22831,42320,7987,855,4962,21570,3239,1343,16093,29308,0.27,0.34,0.427,0.767,66903,3609,1404,1544,1400,1343
1995,28,1133,28.6,4.85,4034,156703,138571,19554,36975,6958,824,4081,18436,2933,1257,14240,25425,0.267,0.338,0.417,0.755,57824,3145,1219,1488,1173,1105
1994,28,991,28.7,4.92,3200,124483,110266,15752,29743,5723,702,3306,14858,2258,1032,11131,19766,0.27,0.339,0.424,0.763,46788,2442,876,1207,992,1008
1993,28,1104,28.4,4.6,4538,174564,154995,20864,41088,7449,940,4030,19596,3263,1660,15110,26310,0.265,0.332,0.403,0.736,62507,3431,1200,1811,1430,1477
1992,26,1007,28.4,4.12,4212,160545,142895,17341,36544,6563,845,3038,16282,3264,1601,13682,23538,0.256,0.322,0.377,0.7,53911,3109,980,1665,1294,1315
